ticker,company,cik,year,accession,status,path
LULU,Lululemon Athletica,0001397187,2014,0001397187-14-000021,success,../data/item1a/0001397187_2014.txt
LULU,Lululemon Athletica,0001397187,2013,0001193125-13-118393,item1a_not_found,
POOL,Pool Corporation,0000945841,2026,0001193125-26-074833,success,../data/item1a/0000945841_2026.txt
POOL,Pool Corporation,0000945841,2025,0000945841-25-000032,success,../data/item1a/0000945841_2025.txt
POOL,Pool Corporation,0000945841,2024,0000945841-24-000021,success,../data/item1a/0000945841_2024.txt
POOL,Pool Corporation,0000945841,2023,0000945841-23-000015,success,../data/item1a/0000945841_2023.txt
POOL,Pool Corporation,0000945841,2022,0000945841-22-000023,success,../data/item1a/0000945841_2022.txt
POOL,Pool Corporation,0000945841,2021,0000945841-21-000022,success,../data/item1a/0000945841_2021.txt
POOL,Pool Corporation,0000945841,2020,0000945841-20-000041,success,../data/item1a/0000945841_2020.txt
POOL,Pool Corporation,0000945841,2019,0000945841-19-000013,success,../data/item1a/0000945841_2019.txt
POOL,Pool Corporation,0000945841,2018,0000945841-18-000020,success,../data/item1a/0000945841_2018.txt
POOL,Pool Corporation,0000945841,2017,0000945841-17-000028,success,../data/item1a/0000945841_2017.txt
POOL,Pool Corporation,0000945841,2016,0000945841-16-000190,success,../data/item1a/0000945841_2016.txt
POOL,Pool Corporation,0000945841,2015,0000945841-15-000034,success,../data/item1a/0000945841_2015.txt
POOL,Pool Corporation,0000945841,2014,0000945841-14-000019,success,../data/item1a/0000945841_2014.txt
POOL,Pool Corporation,0000945841,2013,0000945841-13-000019,success,../data/item1a/0000945841_2013.txt
POOL,Pool Corporation,0000945841,2012,0000945841-12-000018,success,../data/item1a/0000945841_2012.txt
NVR,"NVR, Inc.",0000906163,2026,0000906163-26-000018,success,../data/item1a/0000906163_2026.txt
NVR,"NVR, Inc.",0000906163,2025,0000906163-25-000011,success,../data/item1a/0000906163_2025.txt
NVR,"NVR, Inc.",0000906163,2024,0000906163-24-000033,success,../data/item1a/0000906163_2024.txt
NVR,"NVR, Inc.",0000906163,2023,0000906163-23-000023,success,../data/item1a/0000906163_2023.txt
NVR,"NVR, Inc.",0000906163,2022,0000906163-22-000008,success,../data/item1a/0000906163_2022.txt
NVR,"NVR, Inc.",0000906163,2021,0000906163-21-000017,success,../data/item1a/0000906163_2021.txt
NVR,"NVR, Inc.",0000906163,2020,0000906163-20-000026,success,../data/item1a/0000906163_2020.txt
NVR,"NVR, Inc.",0000906163,2019,0000906163-19-000029,success,../data/item1a/0000906163_2019.txt
NVR,"NVR, Inc.",0000906163,2018,0000906163-18-000007,success,../data/item1a/0000906163_2018.txt
NVR,"NVR, Inc.",0000906163,2017,0001564590-17-001623,item1a_not_found,
NVR,"NVR, Inc.",0000906163,2016,0001564590-16-012809,item1a_not_found,
NVR,"NVR, Inc.",0000906163,2015,0001564590-15-000764,item1a_not_found,
NVR,"NVR, Inc.",0000906163,2014,0001193125-14-060606,item1a_not_found,
NVR,"NVR, Inc.",0000906163,2013,0001193125-13-065025,item1a_not_found,
NVR,"NVR, Inc.",0000906163,2012,0001193125-12-072956,item1a_not_found,
NVR,"NVR, Inc.",0000906163,2011,0000950123-11-018386,success,../data/item1a/0000906163_2011.txt
NVR,"NVR, Inc.",0000906163,2010,0000950123-10-018033,success,../data/item1a/0000906163_2010.txt
TJX,TJX Companies,0000109198,2026,0000109198-26-000008,success,../data/item1a/0000109198_2026.txt
TJX,TJX Companies,0000109198,2025,0000109198-25-000010,success,../data/item1a/0000109198_2025.txt
TJX,TJX Companies,0000109198,2024,0000109198-24-000014,success,../data/item1a/0000109198_2024.txt
TJX,TJX Companies,0000109198,2023,0000109198-23-000004,success,../data/item1a/0000109198_2023.txt
TJX,TJX Companies,0000109198,2022,0000109198-22-000008,success,../data/item1a/0000109198_2022.txt
TJX,TJX Companies,0000109198,2021,0000109198-21-000006,success,../data/item1a/0000109198_2021.txt
